query_name,phase,samples,min_ms,p50_ms,p95_ms,max_ms
audit_action_and_date,after,30,0.067,0.079,0.152,0.267
audit_actor_and_date,after,30,0.074,0.079,0.090,0.094
audit_first_cursor_page,after,30,0.068,0.073,0.086,0.177
audit_ticket_and_date,after,30,0.061,0.073,0.251,0.286
queue_my_child_tasks_first_page,after,30,0.352,0.375,0.621,0.687
queue_my_open_first_page,after,30,0.349,0.398,0.632,0.680
queue_pending_first_page,after,30,0.649,0.747,1.046,1.108
queue_recently_solved_first_page,after,30,0.354,0.376,0.608,1.002
queue_unassigned_my_groups_first_page,after,30,8.812,9.778,10.167,10.377
staff_command_replay_lookup,after,30,0.124,0.132,0.151,0.178
