query_name,phase,samples,min_ms,p50_ms,p95_ms,max_ms
audit_action_and_date,after,15,0.077,0.094,0.245,0.250
audit_actor_and_date,after,15,0.080,0.084,0.089,0.094
audit_first_cursor_page,after,15,0.071,0.095,0.214,0.308
audit_projection_status,after,15,0.011,0.013,0.018,0.018
audit_ticket_and_date,after,15,0.070,0.080,0.116,0.128
queue_my_child_tasks_first_page,after,15,0.634,0.678,0.966,1.133
queue_my_open_first_page,after,15,0.663,0.795,1.098,1.120
queue_pending_first_page,after,15,0.709,0.739,0.818,0.922
queue_recently_solved_first_page,after,15,0.591,0.613,0.791,0.905
queue_unassigned_my_groups_first_page,after,15,1.052,1.133,1.359,1.406
search_agent_workspace_exact_count,after,15,3.116,3.253,3.558,3.614
search_agent_workspace_score_first_page,after,15,4.447,5.029,5.385,5.409
staff_command_replay_lookup,after,15,0.124,0.131,0.156,0.165
