query_name,phase,samples,min_ms,p50_ms,p95_ms,max_ms
audit_action_and_date,before,15,0.068,0.070,0.078,0.082
audit_actor_and_date,before,15,0.677,0.686,0.692,0.695
audit_first_cursor_page,before,15,0.066,0.068,0.079,0.083
audit_projection_status,before,15,0.011,0.012,0.016,0.016
audit_ticket_and_date,before,15,0.060,0.062,0.067,0.068
queue_my_child_tasks_first_page,before,15,0.574,0.595,0.648,0.738
queue_my_open_first_page,before,15,0.626,0.682,0.882,0.920
queue_pending_first_page,before,15,0.622,0.657,0.811,0.842
queue_recently_solved_first_page,before,15,0.648,0.659,0.736,0.827
queue_unassigned_my_groups_first_page,before,15,0.901,1.039,1.226,1.313
staff_command_replay_lookup,before,15,0.108,0.114,0.134,0.135
