migration,duration_seconds
V1__initial_request_vertical_slice.sql,0
V2__add_ticket_audit_command_context.sql,0
V3__enforce_request_access_token_lifecycle.sql,0
V4__timestamp_ticket_audit_events.sql,0
V5__staff_authentication_and_groups.sql,0
V6__agent_ticket_read_and_access_audit.sql,0
V7__ticket_command_audit_concurrency.sql,0
V8__ticket_parent_child_relations.sql,0
V9__access_search_audit.sql,0
V10__security_auditor_role.sql,0
V11__audit_activity_projection.sql,1
V12__audit_explorer_self_audit_and_export_skeleton.sql,0
V13__sanitize_search_audit_routine_representation.sql,0
V14__index_staff_ticket_command_replay.sql,0
V15__stabilize_audit_projection_history.sql,0
V16__persist_explicit_audit_authority_grants.sql,0
V17__isolate_unverified_customer_email.sql,0
V18__outbound_mail_outbox.sql,0
V19__customer_magic_link_authentication.sql,0
V20__customer_request_portal.sql,0
V21__integration_client_management.sql,0
V22__external_system_and_reference.sql,0
V23__private_platform_api_v1.sql,0
V24__versioned_business_schedules.sql,0
V25__first_reply_sla.sql,0
V26__customer_search_audit.sql,0
V27__customer_search_trigram_index.sql,0
V28__public_request_rate_limit_buckets.sql,0
V29__outbound_mail_operations_indexes.sql,1
V30__versioned_saved_ticket_views.sql,0
V31__platform_rate_limit_buckets.sql,0
V32__private_attachment_pipeline.sql,0
V33__audit_export_artifacts_and_worker_leases.sql,0
V34__saved_view_description.sql,0
V35__staff_ticket_search_projection.sql,0
