phase,category,object_name,bytes,pretty_size,index_scans
after,candidate_index,audit_activity_projection_actor_cursor_idx,958464,936 kB,17
after,candidate_index,ticket_search_documents_staff_trgm_idx,6832128,6672 kB,0
after,candidate_index,tickets_assignee_status_cursor_idx,589824,576 kB,34
after,table_heap,access_audit_events,1843200,1800 kB,
after,table_heap,admin_security_audit_events,311296,304 kB,
after,table_heap,audit_activity_projection,6201344,6056 kB,
after,table_heap,customers,188416,184 kB,
after,table_heap,ticket_audit_events,1343488,1312 kB,
after,table_heap,ticket_audits,2211840,2160 kB,
after,table_heap,ticket_comments,2981888,2912 kB,
after,table_heap,ticket_search_documents,5169152,5048 kB,
after,table_heap,tickets,1933312,1888 kB,
after,table_indexes,access_audit_events,2113536,2064 kB,
after,table_indexes,admin_security_audit_events,507904,496 kB,
after,table_indexes,audit_activity_projection,13221888,13 MB,
after,table_indexes,customers,2056192,2008 kB,
after,table_indexes,ticket_audit_events,983040,960 kB,
after,table_indexes,ticket_audits,2965504,2896 kB,
after,table_indexes,ticket_comments,2801664,2736 kB,
after,table_indexes,ticket_search_documents,7503872,7328 kB,
after,table_indexes,tickets,5373952,5248 kB,
